personne_id,nom,prenom,naissance,deces,nationalite,artiste,popularite
28794c25-dafb-4f23-96a2-a1987a682385,Tureaud,Laurence,1952-05-21,,us,Mr. T,13.922
b7e61cac-2c3f-4736-a3cc-46edc229e431,Gibson,Mel Columcille Gerard,1956-01-03,,au,Mel Gibson,85.351
55a018ac-eea4-42f9-92b2-671d376bea5d,Fawcett,Mary Farrah Leni,1947-02-02,2009-06-25,us,Farrah Fawcett,18.257
9cedaa88-2e8f-42b3-8f46-bb4baab9e926,Giraudeau,Bernard,1947-06-18,2010-07-17,fr,,5.523
52c92562-c0e4-45b2-a980-c3c81a3cef1c,Costner,Kevin,1955-01-18,,us,,62.788
3dede616-b6db-4963-80d7-7d0bff8bafd2,Charlebois,Robert,1944-06-25,,ca,,7.658
be19aaef-7141-424e-bd95-a2094b054bfa,Matheson,Tim,1947-12-31,,,,34.177
f12a25e5-b6b1-48a0-9dd9-11510aa744ee,Foster,Jodie,1962-11-19,,us,,80.265
8e7b80a8-0352-4662-9255-253c748852e3,Cruise,Tom,1962-07-03,,us,,51.109
e6274aaa-31e5-40e4-8b83-1c4507de472b,O'Hara,Catherine,1954-03-04,,,,49.422
59200eec-107f-44b2-afc7-992ab94073ec,Shawn,Wallace,1943-11-12,,,,32.321
641bad3a-4947-4fb9-b3b8-771ecd760437,Burstyn,Ellen,1932-12-07,,,,23.888
23cd4edb-007f-4dd6-ba4f-9c876d5c424e,Glenn,Scott,1939-01-26,,,,61.45
6c59baba-028d-4523-a2a3-e279b5087aa3,Gouyé,Jean Roger,1933-07-18,2003-05-23,fr,Jean Yanne,4.617
147db1a9-d8bf-4157-809c-3dd886b90641,Sutherland,Donald,1935-07-17,,,,47.89
4c6389ca-0333-4abb-b648-c5509ed8a973,Espinasse,Claude,1936-06-15,2020-12-22,fr,Claude Brasseur,11.602
8783a35c-79df-4149-a4fa-9f6177429a18,Allen,Karen,1951-10-05,,us,,45.409
7679b6c7-9447-47de-a312-c7d3f06e5046,Hong,James,1929-02-22,,,,87.678
734e6593-c6eb-40d9-8651-8e071599ad4e,Brown,Bryan,1947-06-23,,,,35.938
ea4dc8b8-ca26-4ca9-8d88-4745933a6272,Patrick,Robert,1958-11-05,,,,56.057
